SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_31	19541	16514	16430	16293	11604	0.594
Control_32	4691	3248	3188	3108	1723	0.367
Control_33	3475	627	592	588	505	0.145
Control_34	9880	7213	7102	7102	7015	0.71
Control_35	6684	4841	4654	4756	4584	0.686
Control_36	4907	2313	2207	2249	2197	0.448
EP_A_FASC_EG_9014	11466	9823	9156	9241	8501	0.741
EP_A_FASC_EG_9019	38182	34343	33254	33525	20242	0.53
EP_A_FASC_EG_9052	5192	4519	4141	4197	3778	0.728
EP_A_FASC_EG_9053	19408	16418	15304	15485	14126	0.728
EP_A_FASC_EG_9057	37833	33685	31953	32377	18456	0.488
EP_A_FASC_EG_9104	14169	12332	11985	12059	11663	0.823
EP_A_FASC_GL_8990	12708	11097	10428	10457	9669	0.761
EP_A_FASC_GL_9014	12296	11324	11018	11097	10650	0.866
EP_A_FASC_GL_9019	20979	19477	19281	19333	17502	0.834
EP_A_FASC_GL_9052	6870	5848	5113	5256	4479	0.652
EP_A_FASC_GL_9053	19834	16548	15573	15772	14779	0.745
EP_A_FASC_GL_9057	37340	33839	33286	33373	18644	0.499
EP_A_FASC_GL_9104	13959	11987	11522	11606	11277	0.808
EP_A_FASC_HP_8990	12628	11132	10558	10582	10013	0.793
EP_A_FASC_HP_9014	16502	14055	13373	13394	12832	0.778
EP_A_FASC_HP_9019	31178	27642	27259	27321	17471	0.56
EP_A_FASC_HP_9052	5892	5057	4665	4770	4331	0.735
EP_A_FASC_HP_9053	19657	15703	15049	15289	14651	0.745
EP_A_FASC_HP_9057	31080	28359	28148	28136	13602	0.438
EP_A_FASC_HP_9104	10841	9000	8568	8743	8427	0.777
EP_A_FASC_MG_8990	11272	10009	9520	9532	9000	0.798
EP_A_FASC_MG_9014	18325	16257	15565	15640	14493	0.791
EP_A_FASC_MG_9019	44833	40747	40148	38663	19151	0.427
EP_A_FASC_MG_9052	6460	5676	5416	5503	5309	0.822
EP_A_FASC_MG_9053	19190	16309	15477	15388	14576	0.76
EP_A_FASC_MG_9057	38414	35212	34968	34815	15966	0.416
EP_A_FASC_MG_9104	21119	17975	17150	17338	16230	0.769
EP_A_FASC_ST_8990	9793	8706	8170	8237	7323	0.748
EP_A_FASC_ST_9014	17340	15237	14784	14766	14060	0.811
EP_A_FASC_ST_9019	45261	40280	39290	39433	27163	0.6
EP_A_FASC_ST_9052	3714	3288	3176	3226	2936	0.791
